text,label,severity,source
"[AGENT] security [FILE] api/auth.ts [TITLE] SQL Injection via unsanitized input [DESC] User-supplied email is interpolated directly into a SQL query string without parameterization. [FIX] Use parameterized query: db.query('SELECT * FROM users WHERE email = $1', [email])",0,critical,synthetic
"[AGENT] logic [FILE] src/routes/auth.js [TITLE] Missing input validation for email and name [DESC] The function does not check if email and name are provided in the request body. If they are missing, it will throw an error. [FIX] Add checks for email and name: if (!email || !name) return res.status(400).json({ error: 'Email and name are required' });",1,high,db
[AGENT] style [FILE] lib/utils.ts [TITLE] Ambiguous single-letter variable name [DESC] The parameter 'x' in an exported function gives no indication of its purpose. [FIX] Rename to a descriptive name: function processData(inputPayload: DataPayload),3,low,synthetic
"[AGENT] logic [FILE] app/cp/c.c [TITLE] Off-by-one error in student name input [DESC] The code uses scanf with a format string %20s to read a student name into a buffer of size 21. However, if the user enters a name exactly 20 characters long, the null terminator will be written outside the buffer, potentially causing undefined behavior. [FIX] Use a format string with a limit one less than the buffer size, e.g., scanf(""%19s"", s.name);",2,medium,db
[AGENT] style [FILE] lib/utils.ts [TITLE] Ambiguous single-letter variable name [DESC] The parameter 'x' in an exported function gives no indication of its purpose. [FIX] Rename to a descriptive name: function processData(inputPayload: DataPayload),3,low,synthetic
"[AGENT] style [FILE] auth.ts [TITLE] Missing explicit return type [DESC] The function 'loginUser' lacks an explicit return type, making the API contract less clear. [FIX] Define a return type (e.g., a LoginResponse interface) for the function.",3,low,db
"[AGENT] security [FILE] api/token.ts [TITLE] Hardcoded JWT secret in source code [DESC] The JWT signing secret is hardcoded as a string literal, exposing it in version control. [FIX] Move to environment variable: process.env.JWT_SECRET",0,critical,synthetic
"[AGENT] performance [FILE] src/routes/auth.js [TITLE] Unbounded data fetching in user registration [DESC] The code fetches an existing user by email, but does not limit the result set. This could potentially lead to performance issues if the database grows large. [FIX] Use a more efficient query method, such as `User.findOne({ email }, { _id: 1 })` to only retrieve the necessary fields.",1,high,db
"[AGENT] performance [FILE] app/cp/c.c [TITLE] Potential memory leak due to missing error handling for fwrite [DESC] If fwrite fails, the file pointer fp will not be closed, leading to a memory leak. [FIX] Check the return value of fwrite and close the file pointer if it fails: if (fwrite(&s, sizeof(struct Student), 1, fp) != 1) { fclose(fp); return 1; }",2,medium,db
"[AGENT] style [FILE] src/routes/users.js [TITLE] Inconsistent error handling pattern [DESC] The error handling pattern in this route is different from other routes. It returns a 400 error with a JSON response, while other routes return a 500 error with a JSON response. [FIX] Use a consistent error handling pattern throughout the application.",2,medium,db
"[AGENT] style [FILE] app/test1/page.tsx [TITLE] Poor component naming convention [DESC] The component 'test1' is written in lowercase and uses a non-descriptive name. React components should use PascalCase (e.g., TestPage) to distinguish them from standard HTML elements and improve readability. [FIX] Rename the component to something descriptive using PascalCase, such as 'TestOnePage' or 'TestPage'.",2,medium,db
"[AGENT] performance [FILE] auth.ts [TITLE] Blocking Synchronous Nested Loop (O(n²)) [DESC] The login logic contains a nested loop that performs 100,000,000 iterations synchronously. This will block the Node.js Event Loop, preventing the server from processing any other concurrent requests and creating a Denial of Service (DoS) vulnerability. [FIX] Remove the nested loop entirely. Use rate-limiting middleware or standard cryptographic delays (like bcrypt) if a delay is intended.",0,critical,db
"[AGENT] logic [FILE] app/cp/c.c [TITLE] Buffer overflow vulnerability in filename input [DESC] The code uses scanf to read a filename into a fixed-size buffer (filename[100]). If the user enters a filename longer than 99 characters, it will overflow the buffer, potentially causing a crash or allowing arbitrary code execution. [FIX] Use fgets to read the filename with a limit, e.g., fgets(filename, sizeof(filename), stdin);",1,high,db
"[AGENT] logic [FILE] app/cp/c.c [TITLE] Invalid input handling [DESC] The program does not check if the scanf function successfully read an integer for the roll number. If the user enters a non-integer value, the program will produce undefined behavior. [FIX] Check the return value of scanf to ensure successful input: if (scanf(""%d"", &s.roll) != 1) { /* handle error */ }",2,medium,db
[AGENT] logic [FILE] src/routes/auth.js [TITLE] Missing input validation for email and password [DESC] The function does not validate the input email and password. This can lead to potential security vulnerabilities and errors. [FIX] Add input validation using a library like Joi or express-validator to ensure email and password are valid.,1,high,db
[AGENT] performance [FILE] src/routes/users.js [TITLE] Unbounded data fetching in users endpoint [DESC] Fetching all users without limit can lead to performance issues and high memory usage. [FIX] Add pagination: const users = await User.find({}).limit(10).skip(0);,2,medium,db
"[AGENT] logic [FILE] app/cp/c.c [TITLE] Off-by-one error in student name input [DESC] The code uses scanf to read a student name into a fixed-size buffer (s.name[21]) with a format specifier %20s. However, the buffer size is 21, which means the last character is reserved for the null terminator. If the user enters a name exactly 20 characters long, it will leave no room for the null  [FIX] Increase the buffer size or use a safer input function: scanf(""%20s"", s.name); is correct, but consider using fgets or a safer alternative.",2,medium,db
"[AGENT] style [FILE] app/cp/c.c [TITLE] Magic number used for array size [DESC] The number 21 is used directly in the struct definition without explanation. This makes it hard to find and change later, and its meaning is unclear to other developers. [FIX] Extract to a named constant: #define MAX_NAME_LENGTH 21",2,medium,db
[AGENT] style [FILE] lib/utils.ts [TITLE] Ambiguous single-letter variable name [DESC] The parameter 'x' in an exported function gives no indication of its purpose. [FIX] Rename to a descriptive name: function processData(inputPayload: DataPayload),3,low,synthetic
"[AGENT] security [FILE] app/cp/c.c [TITLE] Path Traversal Vulnerability [DESC] The filename is taken directly from user input without any validation or sanitization, allowing an attacker to potentially write to arbitrary files on the system. [FIX] Validate and sanitize the filename to prevent path traversal attacks. For example, use a whitelist of allowed file extensions and ensure the file is written to a specific directory.",0,critical,db
"[AGENT] security [FILE] app/cp/c.c [TITLE] Path Traversal and Potential Arbitrary File Write [DESC] User-supplied filename is used directly in fopen without validation, allowing an attacker to potentially write to arbitrary files on the system. [FIX] Validate and sanitize the filename to prevent path traversal attacks. Consider using a whitelist of allowed file names and extensions.",1,high,db
"[AGENT] security [FILE] api/auth.ts [TITLE] SQL Injection via unsanitized input [DESC] User-supplied email is interpolated directly into a SQL query string without parameterization. [FIX] Use parameterized query: db.query('SELECT * FROM users WHERE email = $1', [email])",0,critical,synthetic
"[AGENT] security [FILE] app/cp/c.c [TITLE] Path Traversal Vulnerability via Unsanitized User Input [DESC] User-supplied 'filename' parameter is used directly to open a file without validation, allowing an attacker to potentially access sensitive files outside the intended directory. [FIX] Use a whitelist of allowed file extensions and validate the input filename to prevent path traversal attacks. Consider using a library like 'path' to normalize and validate file paths.",0,critical,db
